Model,TBS2104X
Firmware Version,v1.31.14

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,1.6e-05,,,
Filter Frequency,2e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,A
Vertical Offset,0,0,0,0
Vertical Scale,1,1,1,0.05
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.6358e-01,0.79,0.36,0.39,0.0155
-1.6357e-01,0.79,0.36,0.35,0.0135
-1.6355e-01,0.83,0.36,0.35,0.0155
-1.6354e-01,0.83,0.36,0.39,0.0155
-1.6352e-01,0.79,0.36,0.39,0.0155
-1.6350e-01,0.79,0.4,0.39,0.0155
-1.6349e-01,0.79,0.4,0.23,0.0035
-1.6347e-01,0.79,0.36,0.23,0.0135
-1.6346e-01,0.79,0.36,0.19,0.0095
-1.6344e-01,0.79,0.36,0.23,0.0075
-1.6342e-01,0.83,0.4,0.23,0.0095
-1.6341e-01,0.79,0.36,0.23,0.0095
-1.6339e-01,0.79,0.36,0.23,0.0115
-1.6338e-01,0.83,0.36,0.23,0.0115
-1.6336e-01,0.79,0.36,0.23,0.0095
-1.6334e-01,0.79,0.36,0.23,0.0095
-1.6333e-01,0.79,0.36,0.23,0.0095
-1.6331e-01,0.83,0.4,0.23,0.0095
-1.6330e-01,0.83,0.36,0.23,0.0075
-1.6328e-01,0.79,0.32,0.23,0.0115
-1.6326e-01,0.79,0.32,0.23,0.0095
-1.6325e-01,0.79,0.36,0.23,0.0115
-1.6323e-01,0.79,0.36,0.19,0.0115
-1.6322e-01,0.79,0.36,0.23,0.0115
-1.6320e-01,0.79,0.36,0.19,0.0115
-1.6318e-01,0.79,0.36,0.23,0.0115
-1.6317e-01,0.83,0.36,0.23,0.0095
-1.6315e-01,0.79,0.36,0.23,0.0095
-1.6314e-01,0.83,0.32,0.19,0.0095
-1.6312e-01,0.79,0.36,0.23,0.0095
-1.6310e-01,0.83,0.36,0.23,0.0095
-1.6309e-01,0.79,0.36,0.19,0.0095
-1.6307e-01,0.83,0.32,0.23,0.0095
-1.6306e-01,0.83,0.36,0.23,0.0095
