Model,TBS2104X
Firmware Version,v1.31.14

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,8e-06,,,
Filter Frequency,2e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,A
Vertical Offset,0,0,0,0
Vertical Scale,1,1,0.5,0.2
Label,,,,
TIME,CH1,CH2,CH3,CH4
-9.5432e-02,-0.00999995,-0.04,0.135,-0.078
-9.5424e-02,-0.00999995,-0.04,0.135,-0.078
-9.5416e-02,0.03,-0.04,0.135,-0.078
-9.5408e-02,-0.00999995,-0.04,0.135,-0.078
-9.5400e-02,-0.00999995,-0.08,0.115,-0.078
-9.5392e-02,-0.00999995,-0.04,0.135,-0.078
-9.5384e-02,-0.00999995,-5.96046e-09,0.135,-0.078
-9.5376e-02,-0.00999995,-5.96046e-09,0.115,-0.078
-9.5368e-02,-0.05,-0.04,0.115,-0.078
-9.5360e-02,-0.05,-0.04,0.115,-0.078
-9.5352e-02,-0.00999995,-5.96046e-09,0.135,-0.078
-9.5344e-02,-0.00999995,-0.04,0.135,-0.078
-9.5336e-02,-0.00999995,-5.96046e-09,0.135,-0.078
-9.5328e-02,-0.00999995,-0.04,0.115,-0.078
-9.5320e-02,-0.00999995,-0.04,0.135,-0.078
-9.5312e-02,-0.00999995,-0.08,0.135,-0.078
-9.5304e-02,-0.00999995,-0.04,0.115,-0.078
-9.5296e-02,0.03,-0.04,0.135,-0.078
-9.5288e-02,-0.00999995,-0.04,0.115,-0.078
-9.5280e-02,-0.00999995,-0.04,0.135,-0.078
-9.5272e-02,-0.00999995,-5.96046e-09,0.135,-0.078
-9.5264e-02,-0.00999995,-0.04,0.135,-0.078
-9.5256e-02,-0.00999995,-0.04,0.135,-0.078
-9.5248e-02,-0.00999995,-0.04,0.135,-0.078
-9.5240e-02,0.03,-0.04,0.135,-0.078
-9.5232e-02,-0.00999995,-0.04,0.135,-0.07
-9.5224e-02,-0.00999995,-0.04,0.135,-0.078
-9.5216e-02,-0.00999995,-0.04,0.135,-0.078
-9.5208e-02,-0.00999995,-0.04,0.135,-0.086
-9.5200e-02,-0.00999995,-0.08,0.115,-0.078
-9.5192e-02,-0.00999995,-0.04,0.135,-0.078
-9.5184e-02,-0.00999995,-5.96046e-09,0.135,-0.078
-9.5176e-02,-0.00999995,-5.96046e-09,0.135,-0.078
-9.5168e-02,-0.00999995,-0.04,0.115,-0.078
-9.5160e-02,-0.00999995,-0.04,0.135,-0.078
-9.5152e-02,0.39,0.36,0.375,-0.094
-9.5144e-02,0.39,0.36,0.395,-0.11
-9.5136e-02,0.39,0.36,0.395,-0.134
-9.5128e-02,0.39,0.36,0.395,-0.118
-9.5120e-02,0.39,0.36,0.415,-0.134
-9.5112e-02,0.39,0.36,0.395,-0.126
-9.5104e-02,0.39,0.4,0.395,-0.126
-9.5096e-02,0.39,0.36,0.395,-0.126
-9.5088e-02,0.39,0.36,0.395,-0.126
-9.5080e-02,0.39,0.36,0.395,-0.134
-9.5072e-02,0.39,0.36,0.395,-0.126
-9.5064e-02,0.39,0.36,0.395,-0.126
-9.5056e-02,0.39,0.4,0.395,-0.134
-9.5048e-02,0.39,0.36,0.395,-0.126
-9.5040e-02,0.39,0.36,0.395,-0.134
-9.5032e-02,0.39,0.36,0.395,-0.126
-9.5024e-02,0.39,0.36,0.395,-0.126
-9.5016e-02,0.39,0.32,0.395,-0.126
-9.5008e-02,0.39,0.36,0.395,-0.126
-9.5000e-02,0.39,0.36,0.395,-0.126
-9.4992e-02,0.39,0.36,0.395,-0.126
-9.4984e-02,0.39,0.36,0.395,-0.126
-9.4976e-02,0.39,0.4,0.395,-0.126
-9.4968e-02,0.39,0.36,0.395,-0.134
-9.4960e-02,0.39,0.4,0.395,-0.126
-9.4952e-02,0.39,0.36,0.395,-0.126
-9.4944e-02,0.39,0.36,0.395,-0.134
-9.4936e-02,0.43,0.36,0.395,-0.126
-9.4928e-02,0.39,0.4,0.395,-0.126
-9.4920e-02,0.39,0.36,0.395,-0.126
-9.4912e-02,0.39,0.36,0.395,-0.134
-9.4904e-02,0.39,0.36,0.395,-0.126
-9.4896e-02,0.39,0.36,0.415,-0.126
-9.4888e-02,0.39,0.32,0.395,-0.126
-9.4880e-02,0.35,0.32,0.395,-0.126
-9.4872e-02,0.39,0.36,0.395,-0.134
-9.4864e-02,0.39,0.36,0.395,-0.126
-9.4856e-02,0.39,0.32,0.395,-0.126
-9.4848e-02,0.35,0.36,0.395,-0.126
-9.4840e-02,0.39,0.36,0.375,-0.126
-9.4832e-02,0.35,0.36,0.395,-0.126
-9.4824e-02,0.39,0.32,0.395,-0.126
-9.4816e-02,0.39,0.36,0.395,-0.126
-9.4808e-02,0.43,0.36,0.395,-0.126
-9.4800e-02,0.39,0.36,0.395,-0.134
-9.4792e-02,0.39,0.32,0.375,-0.126
-9.4784e-02,0.39,0.36,0.395,-0.126
-9.4776e-02,0.39,0.4,0.395,-0.126
-9.4768e-02,0.39,0.36,0.395,-0.126
-9.4760e-02,0.39,0.36,0.395,-0.134
-9.4752e-02,0.39,0.36,0.395,-0.134
-9.4744e-02,0.39,0.36,0.395,-0.126
-9.4736e-02,0.39,0.36,0.395,-0.134
-9.4728e-02,0.39,0.36,0.395,-0.134
-9.4720e-02,0.39,0.36,0.395,-0.126
-9.4712e-02,0.39,0.32,0.375,-0.126
-9.4704e-02,0.11,0.16,0.335,-0.126
-9.4696e-02,-0.00999995,-0.04,0.255,-0.142
-9.4688e-02,-0.00999995,-0.04,0.255,-0.182
-9.4680e-02,-0.00999995,-0.04,0.255,-0.182
-9.4672e-02,-0.00999995,-0.04,0.255,-0.166
-9.4664e-02,-0.00999995,-0.04,0.255,-0.182
-9.4656e-02,-0.00999995,-0.08,0.275,-0.174
-9.4648e-02,0.03,-0.04,0.255,-0.182
-9.4640e-02,-0.00999995,-0.04,0.255,-0.174
-9.4632e-02,-0.00999995,-0.04,0.255,-0.182
-9.4624e-02,-0.00999995,-0.04,0.255,-0.182
-9.4616e-02,-0.00999995,-0.04,0.255,-0.174
-9.4608e-02,-0.00999995,-0.04,0.255,-0.182
-9.4600e-02,-0.41,-0.4,-0.00499999,-0.158
-9.4592e-02,-0.41,-0.44,-0.025,-0.134
-9.4584e-02,-0.41,-0.44,-0.00499999,-0.142
-9.4576e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4568e-02,-0.41,-0.4,-0.00499999,-0.134
